Datum,Viral_Pot,Value_Infectious,Free_Viral,Viralität_in_Proz,Viralität_pro_X,Dunkelziffer,Menschen_mit_Viruskontakt,Geimpfte,Viral_Pot_Plus,Value_Infectious_Plus,Free_Viral_Plus,Viralität_in_Proz_Plus,Viralität_pro_X_Plus,Dunkelziffer_Plus,Menschen_mit_Viruskontakt_Plus,Geimpfte_Plus,Viral_Pot_Opt,Value_Infectious_Opt,Free_Viral_Opt,Viralität_in_Proz_Opt,Viralität_pro_X_Opt,Dunkelziffer_Opt,Menschen_mit_Viruskontakt_Opt,Geimpfte_Opt,Viral_Pot_Pess,Value_Infectious_Pess,Free_Viral_Pess,Viralität_in_Proz_Pess,Viralität_pro_X_Pess,Dunkelziffer_Pess,Menschen_mit_Viruskontakt_Pess,Geimpfte_Pess
2021-05-28,13537.124999999998,0.15251048063481107,5003.563455158822,0.058865452413633196,0.000588654524136332,1.7500000000000009,20.473093931295224,1959500.0,14310.675000000017,0.13762685853165618,5995.77678626472,0.07053855042664377,0.0007053855042664376,1.8500000000000005,20.609456533529524,1959500.0,12125.396250000047,0.16612140972655876,4033.9902677612167,0.0474587090324849,0.000474587090324849,1.6500000000000012,20.24026738264026,1959500.0,15084.22500000003,0.13053258369395554,6735.823312897083,0.07924498015173038,0.0007924498015173039,1.9500000000000002,20.740942527096802,1959500.0
2021-05-29,13511.924999999997,0.11722491329558199,5355.138252017645,0.06300162649432522,0.0006300162649432523,1.7500000000000009,20.489330551682077,1994500.0,14284.035000000018,0.1063442894542885,6338.819678558839,0.07457434915951575,0.0007457434915951575,1.8500000000000005,20.62668998354223,1994500.0,12102.824250000047,0.12718943575457942,4359.220840535334,0.05128495106512158,0.0005128495106512158,1.6500000000000012,20.254739795026612,1994500.0,15056.14500000003,0.1011037233723381,7082.152387279437,0.08331943985034632,0.0008331943985034632,1.9500000000000002,20.759173132412826,1994500.0
2021-05-30,13375.249999999998,0.13206702310850227,5692.178236611763,0.0669668027836678,0.0006696680278366781,1.7500000000000009,20.497114701496987,2029500.0,14139.550000000017,0.11967691444894195,6659.161427235308,0.07834307561453303,0.0007834307561453304,1.8500000000000005,20.635206348794146,2029500.0,11980.402500000046,0.1434477639254017,4675.38178541651,0.05500449159313542,0.0005500449159313542,1.6500000000000012,20.261416666369676,2029500.0,14903.850000000031,0.11371388479767686,7400.296356088262,0.08706231007162661,0.0008706231007162661,1.9500000000000002,20.768423069204538,2029500.0
2021-05-31,12013.224999999997,0.16292848615587263,4995.758799347056,0.05877363293349478,0.0005877363293349478,1.7500000000000009,20.515024040611447,2064500.0,12699.695000000018,0.14680095613949679,5865.099346441191,0.06900116878166107,0.0006900116878166107,1.8500000000000005,20.65380820870699,2064500.0,10760.417250000042,0.1778051974567578,4090.9985312859185,0.04812939448571669,0.0004812939448571669,1.6500000000000012,20.277798547932065,2064500.0,13386.16500000003,0.13910739665760347,6529.010737102966,0.07681189102474077,0.0007681189102474078,1.9500000000000002,20.787715888736194,2064500.0
2021-06-01,10679.724999999995,0.20216428506554665,3977.595240170584,0.04679523811965393,0.0004679523811965393,1.7500000000000009,20.52379789382761,2114500.0,11289.995000000019,0.18034168187950322,4755.523054676486,0.05594733005501748,0.0005594733005501748,1.8500000000000005,20.66313099563756,2114500.0,9565.982250000041,0.22243467043478543,3209.2432208153286,0.0377558025978274,0.00037755802597827395,1.6500000000000012,20.285608508652487,2114500.0,11900.265000000029,0.1700957456531408,5338.736472397083,0.06280866438114215,0.0006280866438114214,1.9500000000000002,20.797587833839,2114500.0
2021-06-02,10197.424999999994,0.18594487710992935,3548.9746344058776,0.04175264275771621,0.0004175264275771621,1.7500000000000009,20.53366095960496,2164500.0,10780.135000000018,0.16397402865644045,4293.607838676486,0.05051303339619395,0.0005051303339619395,1.8500000000000005,20.673570059287144,2164500.0,9143.598750000043,0.20655018254958218,2842.330991057683,0.03343918813009039,0.0003343918813009039,1.6500000000000012,20.294430255241412,2164500.0,11362.84500000003,0.15384292882729228,4846.3935625147315,0.05701639485311449,0.0005701639485311448,1.9500000000000002,20.808602953841298,2164500.0
2021-06-03,9600.499999999995,0.1771424759997168,3001.4012361411724,0.035310602778131445,0.00035310602778131447,1.7500000000000009,20.539122437005013,2214500.0,10149.100000000019,0.15547160231028975,3705.1203845882505,0.04358965158339118,0.00043589651583391184,1.8500000000000005,20.679392037493876,2214500.0,8615.838000000042,0.19759004102133582,2369.158833501211,0.027872456864720133,0.0002787245686472013,1.6500000000000012,20.299272346100693,2214500.0,10697.70000000003,0.1455453067836193,4219.848174176495,0.04964527263737053,0.0004964527263737053,1.9500000000000002,20.81478566130294,2214500.0
2021-06-04,9339.574999999993,0.14882148984544288,2846.7149794294064,0.03349076446387537,0.0003349076446387537,1.7500000000000009,20.544914790660783,2264500.0,9873.265000000018,0.13116305837402298,3530.596315676485,0.041536427243252766,0.00041536427243252764,1.8500000000000005,20.685417672789807,2264500.0,8388.31125000004,0.16547510575382063,2242.684476180035,0.02638452324917688,0.0002638452324917688,1.6500000000000012,20.304561263717474,2264500.0,10406.955000000029,0.12300982248934325,4029.679094426495,0.04740798934619406,0.0004740798934619406,1.9500000000000002,20.821044117203435,2264500.0
2021-06-05,9179.974999999993,0.10793800751531302,3123.0295664176415,0.03674152431079578,0.0003674152431079578,1.7500000000000009,20.556388157170456,2314500.0,9704.545000000018,0.09642641600510954,3790.3157605000147,0.04459195012352959,0.00044591950123529586,1.8500000000000005,20.697573336011455,2314500.0,8250.420750000041,0.11874461257007561,2506.5051123988583,0.029488295439986566,0.00029488295439986567,1.6500000000000012,20.314923823156725,2314500.0,10229.115000000029,0.0909829035503394,4285.797873308847,0.050421151450692314,0.0005042115145069231,1.9500000000000002,20.833882203004205,2314500.0
2021-06-06,8322.124999999993,0.11802599975449164,2823.1831784176416,0.0332139197460899,0.000332139197460899,1.7500000000000009,20.559903699695806,2364500.0,8797.67500000002,0.10611734414581223,3427.0432605588394,0.04031815600657458,0.0004031815600657458,1.8500000000000005,20.70154663496157,2364500.0,7487.27925000004,0.12994867660285894,2270.508410544739,0.02671186365346752,0.0002671186365346752,1.6500000000000012,20.317832472018164,2364500.0,9273.22500000003,0.10041663226493477,3875.7990942794363,0.045597636403287484,0.00045597636403287483,1.9500000000000002,20.838314470388344,2364500.0
